acci_ref,loc_east_osgr,loc_nor_osgr,longitude,latitude,date,_months_,day_of_week,time,hour_of_day,time_category,loc_auth_ons_distr,first_road_class,first_road_num,road_type,speed_limit,junc_detail,sec_road_class,ped_cross_hum_con,ped_cross_phy_facil,light_con,weath_con,road_surf_con,spec_con_site,carri_haz,urb_or_rur_area,did_poli_offi_att,tru_road_flag,lsoa_of_acc_loc,num_of_casu,num_of_vehi,acci_severity
451014534,517444,156736,-0.316841,51.297645,1/15/2021,jan,6,7:30:00,7,morni,E07000210,3,24,3,50,1,3,0,0,1,1,4,0,0,1,1,2,E01030553,1,3,3
451014555,510469,165804,-0.414035,51.380546,1/14/2021,jan,5,17:53:00,17,after,E07000207,3,244,6,30,2,4,0,0,4,2,2,0,0,1,1,2,E01030359,1,3,3
451014580,487830,158327,-0.741086,51.317282,1/14/2021,jan,5,18:45:00,18,eveni,E07000214,3,325,6,30,9,4,0,1,4,1,2,0,0,1,1,2,E01030768,1,1,3
451014582,502460,159203,-0.530973,51.322711,1/15/2021,jan,6,17:15:00,17,after,E07000217,6,0,6,30,0,0,0,0,4,1,4,0,0,1,1,2,E01030981,1,1,3
451014595,520454,165080,-0.27087,51.37201,1/15/2021,jan,6,16:15:00,16,after,E07000208,4,284,6,30,3,3,0,1,4,1,2,0,0,1,1,2,E01030388,1,2,2
451014636,489267,132834,-0.726802,51.08788,1/15/2021,jan,6,20:00:00,20,eveni,E07000216,6,0,6,30,6,4,0,1,4,1,4,0,0,1,2,2,E01030928,1,2,3
451014645,537326,153998,-0.032886,51.268596,1/16/2021,jan,7,8:00:00,8,morni,E07000215,6,0,6,40,0,0,0,0,1,3,3,0,0,2,2,2,E01030861,1,1,3
451014717,522777,155089,-0.240951,51.281718,1/15/2021,jan,6,12:17:00,12,after,E07000211,6,0,9,30,0,0,0,0,1,1,1,0,0,1,1,2,E01030639,1,1,3
451014718,503950,171607,-0.505974,51.433937,1/15/2021,jan,6,18:45:00,18,eveni,E07000213,3,30,3,70,0,0,0,0,6,1,2,0,0,1,1,2,E01030737,1,2,3
451014733,506882,171316,-0.463898,51.430777,1/15/2021,jan,6,18:30:00,18,eveni,E07000213,4,377,6,30,9,6,0,0,4,1,1,0,0,1,2,2,E01030716,1,2,2
451014810,498175,161271,-0.591879,51.342056,1/17/2021,jan,1,17:15:00,17,after,E07000214,3,3046,6,40,0,0,0,0,6,1,1,0,0,2,1,2,E01030764,1,2,3
451015057,518913,156266,-0.295937,51.293116,1/14/2021,jan,5,11:07:00,11,morni,E07000210,1,25,3,70,0,0,0,0,1,2,2,0,0,2,1,1,E01030508,1,1,3
451015082,499784,149033,-0.572199,51.231766,1/18/2021,jan,2,15:10:00,15,after,E07000209,6,0,6,30,0,0,0,0,1,1,1,0,0,1,1,2,E01030455,1,2,2
451015102,492599,163015,-0.671457,51.358669,1/18/2021,jan,2,18:24:00,18,eveni,E07000214,1,3,3,70,0,0,0,0,6,1,2,0,0,2,1,1,E01030757,3,3,2
451015408,506308,164764,-0.474113,51.371992,1/19/2021,jan,3,12:27:00,12,after,E07000212,6,0,6,30,0,0,0,0,1,1,2,0,0,1,1,2,E01030647,1,2,3
451015437,503017,160659,-0.522562,51.335699,1/19/2021,jan,3,15:20:00,15,after,E07000217,6,0,6,30,3,6,0,0,1,1,2,0,0,1,1,2,E01030984,1,3,3
451015445,500393,158943,-0.560701,51.320743,1/18/2021,jan,2,18:30:00,18,eveni,E07000217,6,0,3,30,0,0,2,1,1,1,1,0,0,1,2,2,E01030954,1,2,3
451015447,517768,157019,-0.312103,51.300122,1/19/2021,jan,3,17:45:00,17,after,E07000210,3,24,3,30,6,6,2,8,4,2,2,0,0,1,1,2,E01030510,1,2,3
451015622,513735,164483,-0.367546,51.368028,1/20/2021,jan,4,1:00:00,1,night,E07000207,3,307,6,30,3,6,0,4,1,1,2,0,0,1,2,2,E01030307,1,2,3
